date,product_id,product_name,category,supplier,lead_time_days,reorder_point,promotion,price,sales_units,stock_available
2024-01-01,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,36,109
2024-01-02,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,31,78
2024-01-03,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,41,37
2024-01-04,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,31,6
2024-01-05,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,34,602
2024-01-06,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.06,35,1197
2024-01-07,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,27,1800
2024-01-08,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,38,2392
2024-01-09,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,35,2357
2024-01-10,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,33,2324
2024-01-11,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,32,2292
2024-01-12,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,34,2258
2024-01-13,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,33,2225
2024-01-14,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,33,2192
2024-01-15,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,39,2153
2024-01-16,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,37,2116
2024-01-17,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,39,2077
2024-01-18,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,49,2028
2024-01-19,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,32,1996
2024-01-20,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,42,1954
2024-01-21,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,27,1927
2024-01-22,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,40,1887
2024-01-23,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,32,1855
2024-01-24,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,28,1827
2024-01-25,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,40,1787
2024-01-26,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,34,1753
2024-01-27,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,38,1715
2024-01-28,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,31,1684
2024-01-29,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,39,1645
2024-01-30,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,24,1621
2024-01-31,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,34,1587
2024-02-01,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,41,1546
2024-02-02,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.06,39,1507
2024-02-03,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,36,1471
2024-02-04,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,47,1424
2024-02-05,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,38,1386
2024-02-06,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,36,1350
2024-02-07,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,43,1307
2024-02-08,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,31,1276
2024-02-09,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,45,1231
2024-02-10,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,39,1192
2024-02-11,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,38,1154
2024-02-12,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,28,1126
2024-02-13,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,41,1085
2024-02-14,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.06,38,1047
2024-02-15,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,39,1008
2024-02-16,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,32,976
2024-02-17,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,46,930
2024-02-18,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,43,887
2024-02-19,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,31,856
2024-02-20,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,24,832
2024-02-21,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,29,803
2024-02-22,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,32,771
2024-02-23,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,29,742
2024-02-24,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,30,712
2024-02-25,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,26,686
2024-02-26,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,34,652
2024-02-27,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,46,606
2024-02-28,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,37,569
2024-02-29,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,37,532
2024-03-01,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,39,493
2024-03-02,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,34,459
2024-03-03,MED001,Paracetamol,Analgesico,ProvA,4,154,1,5.06,43,416
2024-03-04,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,32,384
2024-03-05,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,26,358
2024-03-06,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,34,324
2024-03-07,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,42,282
2024-03-08,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,41,241
2024-03-09,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,37,204
2024-03-10,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,38,166
2024-03-11,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,34,132
2024-03-12,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,26,106
2024-03-13,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,40,66
2024-03-14,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,44,22
2024-03-15,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,32,620
2024-03-16,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,36,1214
2024-03-17,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,27,1817
2024-03-18,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,33,2414
2024-03-19,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,32,2382
2024-03-20,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,32,2350
2024-03-21,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,29,2321
2024-03-22,MED001,Paracetamol,Analgesico,ProvA,4,154,0,5.5,29,2292
